isin,ticker,name,yahoo_symbol,yahoo_name
LU1829219556,LYS4,Amundi Euro Highest Rated Macro-Weighted Government Bond 1-3Y UCITS ETF Acc,LYS4.DE,Amundi Euro Highest Rated Macro-Weighted Government Bond 1-3Y UCITS ETF Acc
IE00BYTH6121,FTG4,First Trust Global Equity Income UCITS ETF Acc,FGBL.PA,First Trust Global Equity Income UCITS ETF Class A USD
LU1603790731,DX1H,IndexIQ Factors Sustainable Corporate Euro Bond UCITS ETF,IQEC.MI,IndexIQ Factors Sustainable Corporate Euro Bond UCITS ETF Dis
JE00B8DFY052,GBSE,WisdomTree Physical Gold - EUR Daily Hedged,GBSE.MI,WisdomTree Physical Gold - EUR Daily Hedged
DE000EWG0LD1,GOLD,EUWAX Gold,EWGT.DE,EUWAX Gold Traceable ETC
FR0010405431,LYMH,Amundi MSCI Greece UCITS ETF Dist,LYMH.DE,Amundi MSCI Greece UCITS ETF
IE00BKT6BH25,AYEJ,iShares EUR Corporate Bond ex-Financials 1-5yr ESG SRI UCITS ETF EUR (Acc),IX5A.AS,iShares € Corp Bond ex-Financials 1-5yr ESG SRI UCITS ETF EUR (Acc)
DE000A2QP380,EXI0,iShares EURO STOXX Select Dividend 30 UCITS ETF (DE) EUR (Acc),IDVA.AS,iShares EURO STOXX Select Dividend 30 UCITS ETF (DE) EUR Acc
LU2446383338,ASRX,BNP Paribas Easy EUR Corporate Bond SRI PAB 3-5Y UCITS ETF,ASRX.DE,BNP Paribas Easy € Corp Bond SRI PAB 3-5Y
XS2427354985,WMIB,WisdomTree FTSE MIB,WMIB.MI,WisdomTree FTSE MIB
DE000A1EK0G3,XAD1,Xtrackers Physical Gold EUR Hedged ETC,XAD1.MI,Xtrackers Physical Gold EUR Hedged ETC
DE000A2T5DZ1,XGDE,Xtrackers IE Physical Gold EUR Hedged ETC Securities,XGDE.MI,Xtrackers IE Physical Gold EUR Hedged ETC Securities 5
IE000KYX7IP4,WELK,Amundi S&P Global Financials ESG UCITS ETF DR EUR (A),WELK.DE,Amundi ETF ICAV - Amundi S&P World Financials Screened UCITS ETF Acc
