isin,symbol,name
DE000A1E0HR8,XAD5.MI,Xtrackers Physical Gold ETC (EUR)
DE000A2UDH48,XGDG.L,Xtrackers IE Physical Gold GBP Hedged ETC Securities
LU0292103651,XS7R.DE,Xtrackers MSCI Europe Financials Screened UCITS ETF 1C
IE000MUAJIF4,ECMD.DE,InvescoM2-EUR CB ESG SD Mu ETFR
IE00BYPHT736,XDEP.DE,Xtrackers iBoxx EUR Corporate Bond Yield Plus UCITS ETF 1D
IE000PA766T7,ECMS.DE,Invesco EUR Corporate Bond ESG Short Duration Multi-Factor UCITS ETF EUR Acc
IE00B579F325,SGLD.MI,Invesco Physical Gold ETC
JE00B7VG2M16,GBSP.L,WisdomTree Physical Gold - GBP Daily Hedged
GB00B68FL050,XGLS.L,Xtrackers Physical Gold GBP Hedged ETC
IE00BMQ5Y557,TCRS.DE,Janus Henderson HMT Global IG Credit Curve Steepener Core UCITS ETF Acc
IE00BDT6FT30,GCVG.L,State Street SPDR FTSE Global Convertible Bond GBP Hdg UCITS ETF (Inc)
IE00BGV5VN51,XAIX.DE,Xtrackers Artificial Intelligence & Big Data UCITS ETF 1C
JE00B588CD74,SGBS.MI,WisdomTree Physical Swiss Gold
JE00BN2CJ301,WGLD.MI,WisdomTree Core Physical Gold USD ETC
XS2183935605,SGLS.L,Invesco Physical Gold ETC GBP Hedged
LU1130155606,CAHEUA.MI,UBS MSCI Canada UCITS ETF hEUR acc
IE00B3Y8D011,XS7W.DE,Xtrackers Portfolio Income UCITS ETF 1D
DE0002635281,EXSG.DE,iShares EURO STOXX Select Dividend 30 UCITS ETF (DE)
IE00BFYTYS33,IWVU.L,iShares Edge MSCI World Value Factor UCITS ETF USD (Dist)
IE000CM02H85,FLXT.DE,Franklin FTSE Taiwan UCITS ETF
IE000UX5WPU4,XYPL.DE,Xtrackers iBoxx EUR Corporate Bond Yield Plus UCITS ETF 1C
BGHUBUX01189,HUBE.DE,Expat Hungary BUX UCITS ETF
IE00B0M62S72,IQQA.DE,iShares Euro Dividend UCITS ETF EUR Dist
LU0397221945,XQUI.DE,Xtrackers Portfolio UCITS ETF 1C
DE000ETFL078,EL4G.DE,Deka EURO STOXX Select Dividend 30 UCITS ETF
LU1215415214,AHYE.DE,Amundi Index Solutions - Amundi EURO High Yield Bond ESG - UCITS ETF DR - EUR (C)
IE00BDT6FR16,SPF2.DE,State Street SPDR FTSE Global Convertible Bond USD Hdg UCITS ETF (Inc)
JE00B1VS3770,PHAU.MI,WisdomTree Physical Gold
IE0009JOT9U1,IGLD.DE,iShares Physical Metals PLC   O
LU1829219556,LYS4.DE,Amundi Euro Highest Rated Macro-Weighted Government Bond 1-3Y UCITS ETF Acc
IE00BYTH6121,FGBL.PA,First Trust Global Equity Income UCITS ETF Class A USD
LU1603790731,IQEC.MI,IndexIQ Factors Sustainable Corporate Euro Bond UCITS ETF Dis
JE00B8DFY052,GBSE.MI,WisdomTree Physical Gold - EUR Daily Hedged
DE000EWG0LD1,EWGT.DE,EUWAX Gold Traceable ETC
FR0010405431,LYMH.DE,Amundi MSCI Greece UCITS ETF
IE00BKT6BH25,IX5A.AS,iShares € Corp Bond ex-Financials 1-5yr ESG SRI UCITS ETF EUR (Acc)
DE000A2QP380,IDVA.AS,iShares EURO STOXX Select Dividend 30 UCITS ETF (DE) EUR Acc
LU2446383338,ASRX.DE,BNP Paribas Easy € Corp Bond SRI PAB 3-5Y
XS2427354985,WMIB.MI,WisdomTree FTSE MIB
DE000A1EK0G3,XAD1.MI,Xtrackers Physical Gold EUR Hedged ETC
DE000A2T5DZ1,XGDE.MI,Xtrackers IE Physical Gold EUR Hedged ETC Securities 5
IE000KYX7IP4,WELK.DE,Amundi ETF ICAV - Amundi S&P World Financials Screened UCITS ETF Acc
IE000M7V94E1,NUKL.DE,VanEck Uranium and Nuclear Technologies UCITS ETF
GB00B5840F36,XAD5.MI,Xtrackers Physical Gold ETC (EUR)
IE00BM67HR47,XWTS.DE,Xtrackers MSCI World Communication Services UCITS ETF 1C
LU1681037518,FMI.MI,Amundi Index Solutions - Amundi ITALY MIB ESG UCITS ETF DR - EUR C
IE00B3S1J086,HTWN.MI,HSBC MSCI Taiwan Capped UCITS ETF
IE000ENYES77,WELY.DE,Amundi ETF ICAV - Amundi S&P World Financials Screened UCITS ETF Dist
LU2008761053,ASR5.DE,BNP Paribas Easy € Corp Bond SRI PAB 3-5Y
LU1900066462,LEER.DE,Amundi MSCI Eastern Europe Ex Russia UCITS ETF
DE0006289473,EXHB.DE,iShares eb.rexx Government Germany 1.5-2.5yr UCITS ETF (DE)
